Date,YearMonth_ID,YearMonth_Text,MonthName,Year,Quarter,Date_Key
2021-01-01,202101,2021-01,January,2021,Q1,20210101
2021-01-02,202101,2021-01,January,2021,Q1,20210102
2021-01-03,202101,2021-01,January,2021,Q1,20210103
2021-01-04,202101,2021-01,January,2021,Q1,20210104
2021-01-05,202101,2021-01,January,2021,Q1,20210105
2021-01-06,202101,2021-01,January,2021,Q1,20210106
2021-01-07,202101,2021-01,January,2021,Q1,20210107
2021-01-08,202101,2021-01,January,2021,Q1,20210108
2021-01-09,202101,2021-01,January,2021,Q1,20210109
2021-01-10,202101,2021-01,January,2021,Q1,20210110
2021-01-11,202101,2021-01,January,2021,Q1,20210111
2021-01-12,202101,2021-01,January,2021,Q1,20210112
2021-01-13,202101,2021-01,January,2021,Q1,20210113
2021-01-14,202101,2021-01,January,2021,Q1,20210114
2021-01-15,202101,2021-01,January,2021,Q1,20210115
2021-01-16,202101,2021-01,January,2021,Q1,20210116
2021-01-17,202101,2021-01,January,2021,Q1,20210117
2021-01-18,202101,2021-01,January,2021,Q1,20210118
2021-01-19,202101,2021-01,January,2021,Q1,20210119
2021-01-20,202101,2021-01,January,2021,Q1,20210120
2021-01-21,202101,2021-01,January,2021,Q1,20210121
2021-01-22,202101,2021-01,January,2021,Q1,20210122
2021-01-23,202101,2021-01,January,2021,Q1,20210123
2021-01-24,202101,2021-01,January,2021,Q1,20210124
2021-01-25,202101,2021-01,January,2021,Q1,20210125
2021-01-26,202101,2021-01,January,2021,Q1,20210126
2021-01-27,202101,2021-01,January,2021,Q1,20210127
2021-01-28,202101,2021-01,January,2021,Q1,20210128
2021-01-29,202101,2021-01,January,2021,Q1,20210129
2021-01-30,202101,2021-01,January,2021,Q1,20210130
2021-01-31,202101,2021-01,January,2021,Q1,20210131
2021-02-01,202102,2021-02,February,2021,Q1,20210201
2021-02-02,202102,2021-02,February,2021,Q1,20210202
2021-02-03,202102,2021-02,February,2021,Q1,20210203
2021-02-04,202102,2021-02,February,2021,Q1,20210204
2021-02-05,202102,2021-02,February,2021,Q1,20210205
2021-02-06,202102,2021-02,February,2021,Q1,20210206
2021-02-07,202102,2021-02,February,2021,Q1,20210207
2021-02-08,202102,2021-02,February,2021,Q1,20210208
2021-02-09,202102,2021-02,February,2021,Q1,20210209
2021-02-10,202102,2021-02,February,2021,Q1,20210210
2021-02-11,202102,2021-02,February,2021,Q1,20210211
2021-02-12,202102,2021-02,February,2021,Q1,20210212
2021-02-13,202102,2021-02,February,2021,Q1,20210213
2021-02-14,202102,2021-02,February,2021,Q1,20210214
2021-02-15,202102,2021-02,February,2021,Q1,20210215
2021-02-16,202102,2021-02,February,2021,Q1,20210216
2021-02-17,202102,2021-02,February,2021,Q1,20210217
2021-02-18,202102,2021-02,February,2021,Q1,20210218
2021-02-19,202102,2021-02,February,2021,Q1,20210219
2021-02-20,202102,2021-02,February,2021,Q1,20210220
2021-02-21,202102,2021-02,February,2021,Q1,20210221
2021-02-22,202102,2021-02,February,2021,Q1,20210222
2021-02-23,202102,2021-02,February,2021,Q1,20210223
2021-02-24,202102,2021-02,February,2021,Q1,20210224
2021-02-25,202102,2021-02,February,2021,Q1,20210225
2021-02-26,202102,2021-02,February,2021,Q1,20210226
2021-02-27,202102,2021-02,February,2021,Q1,20210227
2021-02-28,202102,2021-02,February,2021,Q1,20210228
2021-03-01,202103,2021-03,March,2021,Q1,20210301
2021-03-02,202103,2021-03,March,2021,Q1,20210302
2021-03-03,202103,2021-03,March,2021,Q1,20210303
2021-03-04,202103,2021-03,March,2021,Q1,20210304
2021-03-05,202103,2021-03,March,2021,Q1,20210305
