Customer_ID,Customer_Segment,Region
CUST00001,SME,East
CUST00002,Retail,West
CUST00003,Corporate,West
CUST00004,Corporate,West
CUST00005,Retail,West
CUST00006,SME,South
CUST00007,Retail,South
CUST00008,Retail,North
CUST00009,Retail,West
CUST00010,Retail,South
CUST00011,Corporate,West
CUST00012,SME,South
CUST00013,Corporate,South
CUST00014,Corporate,North
CUST00015,Retail,West
CUST00016,SME,West
CUST00017,Retail,West
CUST00018,Retail,North
CUST00019,Retail,West
CUST00020,Corporate,East
CUST00021,Retail,East
CUST00022,Corporate,North
CUST00023,Retail,East
CUST00024,Retail,West
CUST00025,SME,South
CUST00026,Corporate,North
CUST00027,SME,East
CUST00028,Retail,West
CUST00029,Retail,West
CUST00030,Corporate,East
CUST00031,Retail,West
CUST00032,Retail,North
CUST00033,Retail,North
CUST00034,Corporate,East
CUST00035,Corporate,West
CUST00036,Retail,North
CUST00037,Retail,North
CUST00038,Corporate,East
CUST00039,Retail,North
CUST00040,Corporate,West
CUST00041,Retail,North
CUST00042,Retail,North
CUST00043,SME,West
CUST00044,Retail,East
CUST00045,Retail,East
CUST00046,Retail,East
CUST00047,SME,North
CUST00048,Corporate,East
CUST00049,SME,West
CUST00050,SME,West
CUST00051,SME,West
CUST00052,SME,West
CUST00053,SME,East
CUST00054,Retail,North
CUST00055,Retail,East
CUST00056,SME,East
CUST00057,SME,South
CUST00058,SME,East
CUST00059,SME,North
CUST00060,Retail,East
CUST00061,Retail,East
CUST00062,Retail,West
CUST00063,SME,South
CUST00064,Retail,North
CUST00065,Retail,North
CUST00066,Retail,North
CUST00067,SME,East
CUST00068,Retail,North
CUST00069,Retail,South
CUST00070,Retail,South
CUST00071,Corporate,East
CUST00072,SME,West
CUST00073,SME,West
CUST00074,Retail,West
CUST00075,Retail,West
CUST00076,Retail,East
CUST00077,Corporate,East
CUST00078,Retail,East
CUST00079,SME,West
CUST00080,Retail,West
CUST00081,SME,North
CUST00082,Retail,West
CUST00083,Corporate,East
CUST00084,Corporate,North
CUST00085,Corporate,West
CUST00086,Retail,South
CUST00087,Retail,East
CUST00088,Corporate,North
CUST00089,Retail,North
CUST00090,Corporate,West
CUST00091,Retail,North
CUST00092,SME,North
CUST00093,SME,South
CUST00094,SME,West
CUST00095,Corporate,North
CUST00096,Retail,West
CUST00097,Corporate,East
CUST00098,SME,North
CUST00099,Retail,South
CUST00100,Retail,East
CUST00101,Retail,South
CUST00102,Retail,South
CUST00103,SME,North
CUST00104,Retail,East
CUST00105,SME,North
CUST00106,Retail,East
CUST00107,Corporate,East
CUST00108,Retail,South
CUST00109,Retail,South
CUST00110,Retail,South
CUST00111,SME,East
CUST00112,Corporate,East
CUST00113,Retail,East
CUST00114,Retail,North
CUST00115,SME,East
CUST00116,Retail,West
CUST00117,Retail,South
CUST00118,Corporate,South
CUST00119,Retail,West
CUST00120,Retail,South
CUST00121,Retail,West
CUST00122,Corporate,East
CUST00123,Corporate,South
CUST00124,Retail,North
CUST00125,Corporate,West
CUST00126,SME,South
CUST00127,Retail,West
CUST00128,Retail,East
CUST00129,Retail,South
CUST00130,SME,North
CUST00131,Retail,East
CUST00132,Retail,West
CUST00133,SME,South
CUST00134,SME,West
CUST00135,Retail,North
CUST00136,Corporate,East
CUST00137,Retail,East
CUST00138,Corporate,West
CUST00139,Retail,West
CUST00140,SME,South
CUST00141,Corporate,South
CUST00142,Corporate,South
CUST00143,Retail,South
CUST00144,Retail,South
CUST00145,Corporate,North
CUST00146,SME,South
CUST00147,Corporate,East
CUST00148,SME,East
CUST00149,Retail,East
CUST00150,Retail,West
