Customer_ID,Join_Date,Tenure_Months,Churn_Flag,Churn_Date,Customer_Segment,Region,Contract_Type,Payment_Method,Monthly_Charges,Usage_Score,Support_Tickets,Satisfaction_Score
CUST00001,2024-02-01,4,No,,SME,East,Quarterly,Debit Card,833.3,39,2,1
CUST00002,2023-05-11,32,Yes,2023-10-26,Retail,West,Quarterly,Credit Card,491.83,24,0,4
CUST00003,2024-02-05,24,No,,Corporate,West,Monthly,Credit Card,578.59,9,2,1
CUST00004,2024-01-01,35,No,,Corporate,West,Annual,Debit Card,628.88,15,1,1
CUST00005,2023-11-11,18,No,,Retail,West,Monthly,Credit Card,250.0,31,2,2
CUST00006,2021-05-02,3,No,,SME,South,Monthly,Credit Card,650.82,69,2,4
CUST00007,2022-04-12,39,No,,Retail,South,Monthly,Debit Card,635.9,27,2,3
CUST00008,2021-11-27,26,Yes,2022-07-14,Retail,North,Quarterly,Debit Card,634.03,70,4,4
CUST00009,2021-03-29,24,No,,Retail,West,Quarterly,UPI,844.15,38,1,2
CUST00010,2024-01-29,1,No,,Retail,South,Annual,Debit Card,540.4,77,0,4
CUST00011,2023-05-22,34,No,,Corporate,West,Quarterly,Debit Card,647.03,43,1,4
CUST00012,2021-05-11,12,No,,SME,South,Quarterly,Credit Card,409.16,72,1,5
CUST00013,2023-02-09,17,No,,Corporate,South,Monthly,UPI,466.03,29,2,2
CUST00014,2021-12-10,21,No,,Corporate,North,Monthly,Credit Card,665.98,7,2,3
CUST00015,2023-03-17,21,No,,Retail,West,Quarterly,UPI,790.18,47,2,2
CUST00016,2022-01-21,3,Yes,2022-12-23,SME,West,Annual,UPI,1234.25,38,2,1
CUST00017,2023-08-14,44,No,,Retail,West,Monthly,UPI,847.68,90,1,5
CUST00018,2021-10-04,28,No,,Retail,North,Monthly,UPI,776.84,14,3,2
CUST00019,2024-03-30,25,No,,Retail,West,Quarterly,Debit Card,663.6,46,1,4
CUST00020,2022-04-05,44,No,,Corporate,East,Quarterly,Credit Card,899.66,63,1,4
CUST00021,2021-01-22,6,No,,Retail,East,Annual,UPI,1055.03,66,4,5
CUST00022,2021-09-10,42,No,,Corporate,North,Annual,UPI,828.67,42,3,2
CUST00023,2023-01-18,30,No,,Retail,East,Monthly,Credit Card,559.82,58,0,4
CUST00024,2023-05-07,32,No,,Retail,West,Monthly,UPI,660.65,37,1,4
CUST00025,2022-04-20,22,No,,SME,South,Annual,UPI,820.13,74,2,1
CUST00026,2023-12-19,38,Yes,2025-08-15,Corporate,North,Quarterly,UPI,783.79,71,0,4
CUST00027,2022-05-26,14,No,,SME,East,Monthly,UPI,329.1,72,5,2
CUST00028,2022-12-01,34,No,,Retail,West,Monthly,Debit Card,495.87,74,3,3
CUST00029,2023-09-03,43,Yes,2025-10-12,Retail,West,Quarterly,Debit Card,424.45,78,2,5
CUST00030,2021-07-09,47,No,,Corporate,East,Annual,UPI,320.19,88,2,5
CUST00031,2023-08-16,26,Yes,2023-10-15,Retail,West,Monthly,Debit Card,619.23,51,0,5
CUST00032,2022-11-18,40,Yes,2024-09-01,Retail,North,Monthly,Debit Card,727.16,49,4,4
CUST00033,2023-08-16,13,No,,Retail,North,Quarterly,UPI,589.18,33,2,1
CUST00034,2022-07-17,30,No,,Corporate,East,Quarterly,Debit Card,606.28,15,3,4
CUST00035,2023-04-12,19,Yes,2024-10-05,Corporate,West,Quarterly,Credit Card,288.51,14,3,1
CUST00036,2024-02-29,42,Yes,2024-06-26,Retail,North,Monthly,UPI,443.79,80,3,4
CUST00037,2022-10-09,41,Yes,2024-01-23,Retail,North,Annual,Credit Card,562.29,26,1,2
CUST00038,2021-01-21,39,No,,Corporate,East,Monthly,UPI,611.51,45,0,5
CUST00039,2023-04-21,3,Yes,2025-09-26,Retail,North,Quarterly,UPI,860.05,7,0,4
CUST00040,2021-06-16,31,No,,Corporate,West,Monthly,Debit Card,571.03,22,2,2
CUST00041,2022-01-23,12,Yes,2024-02-18,Retail,North,Monthly,UPI,840.19,33,4,3
CUST00042,2022-08-24,15,Yes,2024-12-19,Retail,North,Annual,UPI,720.13,32,2,1
CUST00043,2021-11-12,45,No,,SME,West,Monthly,UPI,716.82,94,3,5
CUST00044,2021-01-14,38,No,,Retail,East,Quarterly,Credit Card,316.57,77,1,4
CUST00045,2021-08-30,40,No,,Retail,East,Monthly,UPI,614.65,6,4,5
CUST00046,2023-02-16,14,Yes,2024-02-29,Retail,East,Annual,Debit Card,842.5,35,1,5
CUST00047,2022-07-19,35,No,,SME,North,Quarterly,UPI,293.69,37,2,4
CUST00048,2023-06-17,16,No,,Corporate,East,Quarterly,Credit Card,855.9,64,0,2
CUST00049,2021-04-02,24,No,,SME,West,Monthly,Debit Card,1126.16,20,1,1
CUST00050,2023-08-14,17,No,,SME,West,Annual,Debit Card,316.67,36,2,1
CUST00051,2022-05-24,18,No,,SME,West,Quarterly,UPI,366.11,75,1,3
CUST00052,2023-02-15,42,No,,SME,West,Annual,Debit Card,767.48,5,2,2
CUST00053,2021-02-04,17,No,,SME,East,Monthly,UPI,688.43,47,1,4
CUST00054,2021-07-25,16,No,,Retail,North,Quarterly,UPI,392.19,21,1,5
CUST00055,2024-01-10,21,No,,Retail,East,Monthly,Credit Card,901.14,15,2,4
CUST00056,2023-10-23,24,Yes,2024-12-31,SME,East,Monthly,Debit Card,505.14,84,3,5
CUST00057,2023-10-19,34,No,,SME,South,Monthly,Debit Card,343.38,53,1,5
CUST00058,2022-07-20,36,No,,SME,East,Monthly,Debit Card,580.41,78,1,1
CUST00059,2024-02-04,43,No,,SME,North,Monthly,Credit Card,924.58,97,1,2
CUST00060,2022-12-04,27,No,,Retail,East,Quarterly,Credit Card,517.37,59,0,2
CUST00061,2022-02-06,39,Yes,2022-09-25,Retail,East,Monthly,Debit Card,722.69,64,2,2
CUST00062,2022-12-31,17,No,,Retail,West,Annual,Credit Card,366.72,77,3,5
CUST00063,2021-06-11,25,Yes,2023-01-19,SME,South,Quarterly,Credit Card,935.02,80,4,5
CUST00064,2021-07-21,38,No,,Retail,North,Annual,Credit Card,385.29,29,2,3
CUST00065,2023-09-23,42,No,,Retail,North,Annual,Credit Card,584.74,60,2,5
CUST00066,2021-09-27,21,Yes,2022-12-01,Retail,North,Quarterly,UPI,978.98,77,1,2
CUST00067,2023-03-27,4,No,,SME,East,Monthly,Debit Card,361.5,49,2,1
CUST00068,2022-04-01,25,No,,Retail,North,Quarterly,UPI,584.39,72,4,2
CUST00069,2023-10-14,30,No,,Retail,South,Annual,UPI,527.69,11,3,2
CUST00070,2021-10-23,33,No,,Retail,South,Annual,UPI,810.93,41,4,3
CUST00071,2022-12-21,39,No,,Corporate,East,Quarterly,Debit Card,519.14,42,0,2
CUST00072,2021-12-04,26,No,,SME,West,Monthly,Credit Card,805.68,47,3,2
CUST00073,2023-05-29,25,No,,SME,West,Monthly,UPI,516.56,37,2,1
CUST00074,2023-12-13,16,No,,Retail,West,Quarterly,UPI,616.73,53,1,2
CUST00075,2023-03-03,24,Yes,2023-12-26,Retail,West,Annual,UPI,1004.86,71,1,4
CUST00076,2021-08-05,5,Yes,2022-08-05,Retail,East,Monthly,UPI,611.19,71,3,5
CUST00077,2023-02-03,42,No,,Corporate,East,Annual,Debit Card,961.54,19,2,5
CUST00078,2021-07-07,39,No,,Retail,East,Quarterly,Debit Card,752.28,57,1,5
CUST00079,2022-01-15,13,Yes,2023-02-19,SME,West,Monthly,UPI,838.06,29,2,2
CUST00080,2022-05-08,30,No,,Retail,West,Monthly,Credit Card,678.69,74,2,1
CUST00081,2023-12-01,7,Yes,2025-08-09,SME,North,Monthly,Debit Card,389.03,31,1,5
CUST00082,2024-03-26,47,No,,Retail,West,Annual,Credit Card,250.0,12,0,2
CUST00083,2021-01-15,17,No,,Corporate,East,Monthly,UPI,415.99,66,1,4
CUST00084,2021-03-06,27,Yes,2021-11-30,Corporate,North,Annual,Credit Card,767.94,83,3,4
CUST00085,2022-06-05,35,Yes,2024-03-20,Corporate,West,Quarterly,UPI,508.38,37,0,3
CUST00086,2024-02-27,5,No,,Retail,South,Quarterly,UPI,292.23,78,1,2
CUST00087,2022-10-10,42,No,,Retail,East,Quarterly,Debit Card,288.36,73,3,4
CUST00088,2023-12-23,5,No,,Corporate,North,Quarterly,UPI,1089.64,88,0,1
CUST00089,2024-03-08,24,No,,Retail,North,Quarterly,Credit Card,717.47,92,1,4
CUST00090,2022-08-16,7,No,,Corporate,West,Quarterly,UPI,886.1,5,0,5
CUST00091,2022-01-27,7,No,,Retail,North,Monthly,Debit Card,545.78,86,4,5
CUST00092,2022-02-23,14,No,,SME,North,Annual,Debit Card,876.13,93,1,1
CUST00093,2021-10-16,15,No,,SME,South,Monthly,Debit Card,844.26,21,1,2
CUST00094,2022-01-14,5,Yes,2024-02-01,SME,West,Annual,Credit Card,1027.03,42,0,2
CUST00095,2021-08-19,37,Yes,2023-12-03,Corporate,North,Quarterly,UPI,732.03,38,2,3
CUST00096,2023-10-15,4,No,,Retail,West,Quarterly,Debit Card,842.33,75,2,2
CUST00097,2021-02-10,30,No,,Corporate,East,Monthly,UPI,661.04,51,2,5
CUST00098,2023-11-18,20,No,,SME,North,Monthly,Debit Card,553.49,65,2,3
CUST00099,2021-05-15,26,No,,Retail,South,Quarterly,Debit Card,918.17,6,0,2
CUST00100,2021-07-20,9,No,,Retail,East,Monthly,Credit Card,828.08,57,2,2
CUST00101,2023-02-19,30,No,,Retail,South,Monthly,Debit Card,739.27,46,5,1
CUST00102,2023-07-19,44,No,,Retail,South,Monthly,Credit Card,686.61,33,4,2
CUST00103,2023-11-23,22,No,,SME,North,Monthly,UPI,559.72,24,2,5
CUST00104,2023-12-08,40,No,,Retail,East,Annual,Credit Card,639.95,20,0,1
CUST00105,2022-05-18,41,No,,SME,North,Monthly,Credit Card,639.44,10,0,1
CUST00106,2022-02-11,44,No,,Retail,East,Monthly,Debit Card,634.48,19,1,1
CUST00107,2023-03-16,30,Yes,2024-01-14,Corporate,East,Monthly,Credit Card,638.88,71,3,5
CUST00108,2021-04-09,20,Yes,2021-12-07,Retail,South,Annual,UPI,508.34,56,2,2
CUST00109,2022-11-15,28,No,,Retail,South,Monthly,Credit Card,465.93,15,2,1
CUST00110,2022-12-27,7,No,,Retail,South,Monthly,UPI,932.58,49,0,5
CUST00111,2023-08-19,4,No,,SME,East,Monthly,Debit Card,690.0,53,2,2
CUST00112,2022-09-05,28,No,,Corporate,East,Monthly,UPI,533.05,14,2,4
CUST00113,2022-10-05,35,Yes,2025-02-09,Retail,East,Quarterly,Credit Card,887.45,76,3,5
CUST00114,2023-10-26,33,No,,Retail,North,Quarterly,Credit Card,1064.37,30,1,4
CUST00115,2022-05-18,7,Yes,2022-09-20,SME,East,Monthly,Credit Card,659.95,43,6,3
CUST00116,2023-02-06,9,Yes,2024-09-26,Retail,West,Quarterly,Credit Card,1352.25,62,1,3
CUST00117,2022-02-02,34,No,,Retail,South,Monthly,UPI,401.53,83,0,4
CUST00118,2023-05-21,39,Yes,2023-08-05,Corporate,South,Quarterly,UPI,892.37,59,2,5
CUST00119,2023-03-06,42,No,,Retail,West,Annual,Debit Card,250.0,61,1,3
CUST00120,2022-01-28,34,No,,Retail,South,Annual,UPI,542.09,70,3,1
CUST00121,2021-07-26,13,No,,Retail,West,Annual,Debit Card,380.29,58,1,3
CUST00122,2023-11-05,29,Yes,2026-03-30,Corporate,East,Quarterly,Credit Card,347.64,5,6,4
CUST00123,2023-06-11,35,Yes,2023-12-17,Corporate,South,Monthly,Credit Card,545.66,52,2,4
CUST00124,2023-05-14,45,No,,Retail,North,Monthly,UPI,636.92,59,0,1
CUST00125,2023-01-13,10,No,,Corporate,West,Monthly,Credit Card,311.12,30,2,5
CUST00126,2022-07-18,30,No,,SME,South,Quarterly,UPI,605.67,67,1,3
CUST00127,2023-10-18,44,No,,Retail,West,Monthly,Debit Card,771.16,72,2,1
CUST00128,2021-04-06,26,No,,Retail,East,Monthly,Debit Card,837.87,82,2,1
CUST00129,2022-04-30,35,Yes,2023-10-24,Retail,South,Monthly,UPI,810.14,45,3,5
CUST00130,2021-08-19,28,Yes,2023-09-06,SME,North,Monthly,Debit Card,677.81,37,3,5
CUST00131,2023-01-19,29,No,,Retail,East,Monthly,Credit Card,400.07,87,3,1
CUST00132,2024-04-09,6,Yes,2024-06-12,Retail,West,Quarterly,UPI,772.42,75,0,4
CUST00133,2022-06-25,3,No,,SME,South,Monthly,UPI,499.14,52,2,4
CUST00134,2023-11-26,29,No,,SME,West,Quarterly,Debit Card,376.79,54,3,4
CUST00135,2022-06-09,2,Yes,2024-07-01,Retail,North,Monthly,UPI,507.11,87,0,5
CUST00136,2024-03-29,22,No,,Corporate,East,Monthly,Debit Card,658.33,37,3,5
CUST00137,2024-01-15,46,No,,Retail,East,Quarterly,UPI,681.05,58,0,3
CUST00138,2022-08-01,47,No,,Corporate,West,Quarterly,UPI,631.33,76,4,1
CUST00139,2022-11-13,27,No,,Retail,West,Quarterly,UPI,914.24,9,1,1
CUST00140,2022-07-11,22,Yes,2024-06-10,SME,South,Monthly,Credit Card,829.13,85,1,5
CUST00141,2023-10-10,10,No,,Corporate,South,Monthly,Debit Card,815.89,21,5,5
CUST00142,2022-10-08,19,No,,Corporate,South,Annual,Credit Card,471.55,8,1,4
CUST00143,2023-03-07,24,No,,Retail,South,Quarterly,Credit Card,530.93,19,1,3
CUST00144,2023-11-18,27,No,,Retail,South,Quarterly,Credit Card,524.59,51,2,5
CUST00145,2021-07-09,36,No,,Corporate,North,Monthly,Debit Card,921.14,52,2,1
CUST00146,2022-09-25,43,No,,SME,South,Monthly,UPI,357.49,12,0,5
CUST00147,2022-09-20,17,Yes,2025-01-11,Corporate,East,Annual,Debit Card,646.8,42,2,3
CUST00148,2023-08-31,10,No,,SME,East,Monthly,UPI,677.42,90,1,5
CUST00149,2022-12-11,17,No,,Retail,East,Annual,UPI,836.69,69,3,1
CUST00150,2022-10-11,44,No,,Retail,West,Monthly,Credit Card,996.92,96,3,4
CUST00151,2021-11-14,10,No,,Retail,East,Monthly,Credit Card,678.56,41,4,5
CUST00152,2022-11-15,10,No,,SME,West,Monthly,Credit Card,721.34,95,1,5
CUST00153,2022-10-26,38,No,,Retail,South,Monthly,UPI,675.53,69,3,3
CUST00154,2024-02-11,17,No,,SME,South,Quarterly,Debit Card,759.95,73,1,3
CUST00155,2022-03-18,26,No,,Corporate,North,Annual,UPI,530.94,90,2,4
CUST00156,2022-07-18,26,No,,Retail,North,Monthly,UPI,993.06,5,2,1
CUST00157,2024-02-11,34,No,,SME,North,Quarterly,Debit Card,686.44,36,1,2
CUST00158,2023-08-10,4,No,,Corporate,North,Monthly,Credit Card,574.18,58,1,4
CUST00159,2024-01-10,27,No,,Corporate,North,Monthly,UPI,374.95,10,2,5
CUST00160,2022-11-30,21,No,,Retail,East,Monthly,UPI,710.88,38,5,3
CUST00161,2021-04-23,36,No,,SME,South,Monthly,Credit Card,917.04,14,2,2
CUST00162,2021-01-02,38,No,,Retail,West,Quarterly,UPI,570.75,58,2,2
CUST00163,2022-10-04,46,Yes,2022-11-26,Corporate,West,Monthly,UPI,751.05,37,1,1
CUST00164,2021-08-08,31,No,,Retail,East,Monthly,UPI,712.03,35,3,3
CUST00165,2023-05-05,7,No,,Retail,North,Annual,UPI,741.73,46,4,4
CUST00166,2022-01-20,44,Yes,2022-03-30,Retail,South,Annual,Debit Card,371.33,54,1,2
CUST00167,2024-02-28,34,No,,Retail,North,Quarterly,Credit Card,648.41,67,2,3
CUST00168,2023-12-13,18,No,,Retail,North,Monthly,UPI,665.79,77,2,5
CUST00169,2022-12-31,24,No,,Retail,South,Quarterly,Credit Card,609.16,81,2,2
CUST00170,2021-09-04,13,No,,Retail,West,Monthly,UPI,462.78,96,0,5
CUST00171,2023-04-16,13,No,,Retail,South,Monthly,UPI,607.34,53,0,4
CUST00172,2021-07-22,25,No,,Retail,East,Monthly,Debit Card,840.06,83,0,1
CUST00173,2021-05-03,5,Yes,2022-10-14,SME,East,Quarterly,Debit Card,612.4,35,3,2
CUST00174,2022-02-05,39,No,,Retail,South,Monthly,UPI,641.2,25,2,1
CUST00175,2023-02-06,29,Yes,2024-01-31,SME,North,Quarterly,Debit Card,680.65,27,2,4
CUST00176,2021-10-21,44,Yes,2022-10-19,SME,West,Monthly,Credit Card,652.13,49,1,4
CUST00177,2021-10-07,46,No,,SME,South,Quarterly,UPI,801.68,18,0,1
CUST00178,2023-06-03,33,Yes,2024-11-18,Retail,East,Monthly,Debit Card,493.0,47,2,3
CUST00179,2021-07-17,24,Yes,2023-09-15,SME,South,Monthly,UPI,569.75,82,0,5
CUST00180,2023-09-09,10,No,,SME,North,Quarterly,UPI,449.23,80,1,4
CUST00181,2023-01-22,25,No,,SME,North,Annual,Debit Card,369.64,56,0,3
CUST00182,2021-05-24,41,No,,Retail,East,Annual,Credit Card,732.8,15,4,3
CUST00183,2022-09-01,10,No,,Corporate,South,Monthly,UPI,816.07,76,1,2
CUST00184,2024-02-22,39,Yes,2025-04-08,Corporate,East,Monthly,Credit Card,589.65,62,0,4
CUST00185,2021-07-06,16,No,,Corporate,South,Quarterly,UPI,546.45,28,2,5
CUST00186,2022-04-09,28,No,,Retail,East,Annual,UPI,594.23,28,6,3
CUST00187,2022-10-22,12,No,,SME,North,Annual,Credit Card,295.19,90,4,2
CUST00188,2023-02-03,44,No,,Retail,North,Quarterly,Debit Card,621.43,39,2,3
CUST00189,2023-08-13,32,No,,Corporate,South,Quarterly,Credit Card,375.39,65,1,3
